FeatureIndex	Name	Min	Max
1	null	0.0	1.0
2	null	0.0	1.0
3	null	0.0	1.0
4	null	0.0	1.0
5	null	0.0	1.0
6	null	0.0	0.0
7	null	0.0	0.0
8	null	0.0	0.0
9	null	0.0	0.0
10	null	0.0	0.0
11	null	0.0	1.0
12	null	0.0	1.0
13	null	0.0	1.0
14	null	0.0	1.0
15	null	0.0	1.0
16	null	0.0	1.0
17	null	0.0	1.0
18	null	0.0	1.0
19	null	0.0	1.0
20	null	0.0	1.0
21	null	0.0	1.0
22	null	0.0	1.0
23	null	0.0	1.0
24	null	0.0	1.0
25	null	0.0	1.0
26	null	0.0	1.0
27	null	0.0	1.0
28	null	0.0	1.0
29	null	0.0	1.0
30	null	0.0	1.0
31	null	0.0	1.0
32	null	0.0	1.0
33	null	0.0	1.0
34	null	0.0	1.0
35	null	0.0	1.0
36	null	0.0	1.0
37	null	0.0	1.0
38	null	0.0	1.0
39	null	0.0	1.0
40	null	0.0	1.0
41	null	0.0	1.0
42	null	0.0	1.0
43	null	0.0	1.0
44	null	0.0	1.0
45	null	0.0	1.0
46	null	0.0	1.0
47	null	0.0	1.0
48	null	0.0	1.0
49	null	0.0	1.0
50	null	0.0	1.0
51	null	0.0	1.0
52	null	0.0	1.0
53	null	0.0	1.0
54	null	0.0	1.0
55	null	0.0	1.0
56	null	0.0	1.0
57	null	0.0	1.0
58	null	0.0	1.0
59	null	0.0	1.0
60	null	0.0	1.0
61	null	0.0	1.0
62	null	0.0	1.0
63	null	0.0	1.0
64	null	0.0	1.0
