0 qid:442 1:0.041667 2:0.000000 3:0.250000 4:0.500000 5:0.038710 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.036725 12:0.000000 13:0.282073 14:0.493613 15:0.037652 16:0.035371 17:0.000000 18:0.277778 19:0.466667 20:0.036250 21:0.680129 22:0.000000 23:0.431760 24:0.332563 25:0.491036 26:0.647269 27:0.000000 28:0.311190 29:0.263717 30:0.553863 31:0.551662 32:0.000000 33:0.422959 34:0.448777 35:0.437397 36:0.658133 37:0.000000 38:0.199369 39:0.233201 40:0.529537 41:0.491068 42:0.491068 43:0.945312 44:0.825407 45:0.028604 46:0.980352 47:0.907086 48:0.196981 49:0.998403 50:0.092789 51:0.062948 52:0.361188 53:0.044703 54:1.000000 55:0.003371 56:0.079941 57:0.090090 58:0.444444 59:0.398496 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G30-66-2599191
1 qid:442 1:0.217949 2:0.000000 3:1.000000 4:0.000000 5:0.222581 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.190705 12:0.000000 13:0.908636 14:0.000000 15:0.194983 16:0.044514 17:0.000000 18:0.666667 19:0.400000 20:0.046093 21:0.999080 22:0.000000 23:0.760365 24:0.000000 25:0.988617 26:0.998067 27:0.000000 28:1.000000 29:0.000000 30:0.983316 31:0.999400 32:0.000000 33:1.000000 34:0.000000 35:0.976181 36:0.998280 37:0.000000 38:1.000000 39:0.000000 40:0.985145 41:0.988619 42:0.988619 43:0.000000 44:0.000000 45:0.000000 46:0.000000 47:0.000000 48:0.000000 49:0.000000 50:0.000000 51:0.001103 52:0.359401 53:0.000000 54:0.000000 55:0.000000 56:0.000740 57:0.036036 58:0.444444 59:0.503759 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G08-46-1276917
0 qid:414 1:0.035651 2:1.000000 3:0.800000 4:0.000000 5:0.091068 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.041687 12:1.000000 13:0.941343 14:0.000000 15:0.115522 16:0.013291 17:0.625000 18:0.437500 19:0.333333 20:0.019741 21:0.958221 22:0.927139 23:1.000000 24:0.000000 25:1.000000 26:0.993491 27:1.000000 28:1.000000 29:0.000000 30:1.000000 31:0.536081 32:1.000000 33:1.000000 34:0.000000 35:0.759190 36:0.994682 37:0.966887 38:1.000000 39:0.000000 40:1.000000 41:1.000000 42:1.000000 43:1.000000 44:1.000000 45:0.047690 46:1.000000 47:1.000000 48:0.792430 49:0.308342 50:0.186861 51:0.111375 52:0.567744 53:0.121649 54:0.190438 55:0.017300 56:0.050633 57:0.067114 58:0.333333 59:0.104478 60:0.032967 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G10-03-3701371
1 qid:414 1:0.133690 2:0.000000 3:0.400000 4:0.000000 5:0.134851 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.160307 12:0.000000 13:0.563493 14:0.000000 15:0.163816 16:0.072218 17:0.011364 18:0.312500 19:0.333333 20:0.072033 21:0.992714 22:0.000000 23:0.740415 24:0.000000 25:0.889204 26:0.927486 27:0.000000 28:0.630398 29:0.000000 30:0.805872 31:0.810567 32:0.000000 33:0.819801 34:0.000000 35:0.814728 36:0.916356 37:0.000000 38:0.513678 39:0.000000 40:0.802659 41:0.757830 42:0.757830 43:0.375277 44:0.956341 45:0.037470 46:0.883768 47:0.921841 48:0.633385 49:0.011342 50:0.060669 51:0.009903 52:0.405948 53:0.000000 54:0.006829 55:0.013598 56:0.001808 57:0.020134 58:0.500000 59:0.179104 60:0.000000 61:0.573989 62:0.713042 63:0.867878 64:0.648440 #docid = G42-77-2264701
0 qid:398 1:0.117647 2:0.833333 3:1.000000 4:0.500000 5:0.421053 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.117647 12:0.833333 13:1.000000 14:0.500000 15:0.421053 16:0.001029 17:0.148148 18:0.153846 19:0.105263 20:0.002136 21:0.865153 22:0.939813 23:1.000000 24:0.817191 25:0.999177 26:0.995405 27:1.000000 28:1.000000 29:0.508188 30:1.000000 31:0.574641 32:0.900143 33:1.000000 34:0.006513 35:0.861287 36:1.000000 37:0.800115 38:1.000000 39:0.821878 40:1.000000 41:0.989183 42:0.989183 43:0.658278 44:1.000000 45:0.233357 46:0.993026 47:1.000000 48:0.907322 49:0.174791 50:0.027781 51:0.007916 52:0.713631 53:0.015552 54:0.119584 55:0.002281 56:0.060606 57:0.005814 58:0.166667 59:0.073864 60:0.023256 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G09-42-4086920
1 qid:398 1:0.529412 2:1.000000 3:1.000000 4:0.500000 5:0.842105 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.529412 12:1.000000 13:1.000000 14:0.500000 15:0.842105 16:0.010769 17:0.231481 18:0.230769 19:0.157895 20:0.012736 21:0.986165 22:0.809881 23:0.844778 24:0.745032 25:1.000000 26:0.936408 27:0.919161 28:0.676331 29:0.418194 30:0.904287 31:0.884741 32:1.000000 33:0.799920 34:0.005788 35:0.979518 36:0.888550 37:0.687854 38:0.676343 39:0.676343 40:0.886265 41:1.000000 42:1.000000 43:1.000000 44:0.993941 45:0.443116 46:1.000000 47:0.991228 48:0.956521 49:1.000000 50:0.221008 51:0.022229 52:0.565033 53:0.031105 54:1.000000 55:0.002622 56:0.359307 57:0.037791 58:0.500000 59:0.142045 60:0.081395 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G01-70-3902920
0 qid:414 1:0.035651 2:0.500000 3:0.800000 4:0.000000 5:0.066550 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.041687 12:0.516147 13:0.941343 14:0.000000 15:0.083995 16:0.012938 17:0.397727 18:0.437500 19:0.222222 20:0.016921 21:0.961640 22:0.734617 23:1.000000 24:0.000000 25:0.956865 26:1.000000 27:0.561647 28:1.000000 29:0.000000 30:0.949055 31:0.536502 32:0.698879 33:1.000000 34:0.000000 35:0.680167 36:1.000000 37:0.501362 38:1.000000 39:0.000000 40:0.955329 41:0.815450 42:0.815450 43:0.795384 44:0.965696 45:0.040210 46:0.993866 47:0.980681 48:0.730971 49:0.452602 50:0.082683 51:0.078433 52:0.569521 53:0.069745 54:0.329044 55:0.016895 56:0.075949 57:0.033557 58:0.333333 59:0.089552 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G42-61-0923380
1 qid:414 1:0.133690 2:0.000000 3:0.400000 4:0.000000 5:0.134851 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.160307 12:0.000000 13:0.563493 14:0.000000 15:0.163816 16:0.072218 17:0.011364 18:0.312500 19:0.333333 20:0.072033 21:0.992714 22:0.000000 23:0.740415 24:0.000000 25:0.889204 26:0.927486 27:0.000000 28:0.630398 29:0.000000 30:0.805872 31:0.810567 32:0.000000 33:0.819801 34:0.000000 35:0.814728 36:0.916356 37:0.000000 38:0.513678 39:0.000000 40:0.802659 41:0.757830 42:0.757830 43:0.375277 44:0.956341 45:0.037470 46:0.883768 47:0.921841 48:0.633385 49:0.011342 50:0.060669 51:0.009903 52:0.405948 53:0.000000 54:0.006829 55:0.013598 56:0.001808 57:0.020134 58:0.500000 59:0.179104 60:0.000000 61:0.573989 62:0.713042 63:0.867878 64:0.648440 #docid = G42-77-2264701
0 qid:414 1:0.055258 2:0.000000 3:0.400000 4:0.000000 5:0.057793 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.065004 12:0.000000 13:0.563493 14:0.000000 15:0.069294 16:0.022818 17:0.011364 18:0.312500 19:0.444444 20:0.022797 21:1.000000 22:0.000000 23:0.740415 24:0.000000 25:0.899523 26:0.995341 27:0.000000 28:0.630398 29:0.000000 30:0.865347 31:0.636374 32:0.000000 33:0.819801 34:0.000000 35:0.647631 36:0.983694 37:0.000000 38:0.513678 39:0.000000 40:0.873067 41:0.766598 42:0.766598 43:0.377497 44:0.969854 45:0.037470 46:0.889220 47:0.943169 48:0.653870 49:0.011342 50:0.040042 51:0.009903 52:0.405948 53:0.000000 54:0.006829 55:0.013574 56:0.001808 57:0.020134 58:0.500000 59:0.201493 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G42-76-1890711
1 qid:414 1:0.133690 2:0.000000 3:0.400000 4:0.000000 5:0.134851 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.160307 12:0.000000 13:0.563493 14:0.000000 15:0.163816 16:0.072218 17:0.011364 18:0.312500 19:0.333333 20:0.072033 21:0.992714 22:0.000000 23:0.740415 24:0.000000 25:0.889204 26:0.927486 27:0.000000 28:0.630398 29:0.000000 30:0.805872 31:0.810567 32:0.000000 33:0.819801 34:0.000000 35:0.814728 36:0.916356 37:0.000000 38:0.513678 39:0.000000 40:0.802659 41:0.757830 42:0.757830 43:0.375277 44:0.956341 45:0.037470 46:0.883768 47:0.921841 48:0.633385 49:0.011342 50:0.060669 51:0.009903 52:0.405948 53:0.000000 54:0.006829 55:0.013598 56:0.001808 57:0.020134 58:0.500000 59:0.179104 60:0.000000 61:0.573989 62:0.713042 63:0.867878 64:0.648440 #docid = G42-77-2264701
0 qid:414 1:0.048128 2:0.142857 3:0.400000 4:0.000000 5:0.057793 6:0.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.056225 12:0.131324 13:0.563493 14:0.000000 15:0.069040 16:0.022230 17:0.102273 18:0.500000 19:0.444444 20:0.023502 21:0.955416 22:0.785263 23:0.546291 24:0.000000 25:0.889396 26:0.951734 27:0.874926 28:0.582000 29:0.000000 30:0.855659 31:0.596006 32:0.452899 33:0.818443 34:0.000000 35:0.644208 36:0.952503 37:1.000000 38:0.479047 39:0.000000 40:0.863911 41:0.757969 42:0.757969 43:0.419885 44:0.941788 45:0.037544 46:0.904340 47:0.952906 48:0.653791 49:0.033783 50:0.061189 51:0.024792 52:0.438013 53:0.051904 54:0.019650 55:0.014172 56:0.005425 57:0.040268 58:0.500000 59:0.149254 60:0.000000 61:0.000000 62:0.000000 63:0.000000 64:0.000000 #docid = G42-75-2982457
